plate_id,well_id,value,replicate_idx
plate01,A1,2.41,1
plate01,A1,2.38,2
plate01,A1,2.44,3
plate01,B1,1.86,1
plate01,B1,1.83,2
plate01,B1,1.9,3
plate01,C1,3.12,1
plate01,C1,3.07,2
plate01,C1,3.15,3
plate01,D1,0.62,1
plate01,D1,0.59,2
plate01,D1,0.66,3
plate01,E1,1.54,1
plate01,E1,1.51,2
plate01,E1,1.57,3
plate01,F1,1.19,1
plate01,F1,1.16,2
plate01,F1,1.22,3
plate01,G1,0.88,1
plate01,G1,0.85,2
plate01,G1,0.91,3
plate01,H1,1.33,1
plate01,H1,1.3,2
plate01,H1,1.36,3
plate01,A2,0.47,1
plate01,A2,0.44,2
plate01,A2,0.5,3
plate01,B2,1.05,1
plate01,B2,1.02,2
plate01,B2,1.08,3
plate01,WT_1,1.0,1
plate01,WT_2,1.0,2
plate01,WT_3,1.0,3
