plate_id,well_id,value,replicate_idx
plate01,WT_1,1011.0,1
plate01,WT_2,962.0,2
plate01,WT_3,982.0,3
plate01,A1,2373.9,1
plate01,A1,2344.3,2
plate01,A1,2403.4,3
plate01,B1,1832.1,1
plate01,B1,1802.6,2
plate01,B1,1871.5,3
plate01,C1,3073.2,1
plate01,C1,3023.9,2
plate01,C1,3102.8,3
plate01,D1,610.7,1
plate01,D1,581.1,2
plate01,D1,650.1,3
plate01,E1,1516.9,1
plate01,E1,1487.3,2
plate01,E1,1546.5,3
plate01,F1,1172.1,1
plate01,F1,1142.6,2
plate01,F1,1201.7,3
plate01,G1,866.8,1
plate01,G1,837.2,2
plate01,G1,896.4,3
plate01,H1,1310.1,1
plate01,H1,1280.5,2
plate01,H1,1339.6,3
plate01,A2,462.9,1
plate01,A2,433.4,2
plate01,A2,492.5,3
plate01,B2,1034.2,1
plate01,B2,1004.7,2
plate01,B2,1063.8,3
